communityID,urban_score_comm,year
0101041,3.3333333333333335,2011
0101042,3.0208333333333335,2011
0101043,3,2011
0102061,2.857142857142857,2011
0102062,2.9166666666666665,2011
0102063,2.413793103448276,2011
0102331,3.4782608695652173,2011
0102332,2.777777777777778,2011
0102333,2.9166666666666665,2011
0104461,2.1666666666666665,2011
0104462,3.0952380952380953,2011
0104463,3.205128205128205,2011
0104511,2.0634920634920637,2011
0104512,1.866666666666667,2011
0104513,1.9696969696969695,2011
0140311,1.8333333333333333,2011
0140312,2.638888888888889,2011
0140313,4.166666666666667,2011
0140511,4.11764705882353,2011
0140512,3.357487922705314,2011
0140513,2.549019607843137,2011
0146431,1.944444444444444,2011
0146432,3.3333333333333335,2011
0146433,2.6666666666666665,2011
0182061,2.5,2011
0182062,2.5,2011
0182063,3.3333333333333335,2011
0304761,2.2619047619047623,2011
0304762,2.5,2011
0304763,1.9753086419753085,2011
0311061,2.5,2011
0311062,3.684210526315789,2011
0311063,3.6,2011
0340431,0.6666666666666665,2011
0340432,3,2011
0340433,1.0256410256410258,2011
0346761,1.841787439613526,2011
0346762,2.5333333333333328,2011
0346763,2.7380952380952386,2011
0467461,1.6666666666666667,2011
0467462,1.9540229885057474,2011
0467463,2.142857142857143,2011
0516061,1.1666666666666667,2011
0516062,1.2000000000000002,2011
0516063,2.298850574712644,2011
0540541,3.3333333333333335,2011
0540542,3.5416666666666665,2011
0540543,3.0208333333333335,2011
0542491,1.372549019607843,2011
0542492,1.5942028985507246,2011
0542493,3.8596491228070176,2011
0560431,2.0987654320987654,2011
0560432,1.4285714285714288,2011
0560433,1.25,2011
0560591,1.4285714285714288,2011
0560592,0.8695652173913043,2011
0560593,1.1111111111111114,2011
0563021,4.938271604938271,2011
0563022,2.4074074074074074,2011
0563023,1.8518518518518519,2011
0563461,1.7647058823529411,2011
0563462,1.746031746031746,2011
0563463,5.797101449275363,2011
0566041,1.351351351351351,2011
0566042,1.6666666666666667,2011
0566043,2.1296296296296293,2011
0574571,1.9230769230769227,2011
0574572,2.1794871794871793,2011
0574573,0.9259259259259259,2011
0576331,3.1944444444444446,2011
0576332,3.2432432432432434,2011
0576333,3.3333333333333335,2011
0582021,3.444444444444444,2011
0582022,2.5,2011
0582023,3.1999999999999997,2011
0586591,0.9523809523809522,2011
0586592,3.3333333333333335,2011
0586593,0.3703703703703705,2011
0604401,3.2098765432098766,2011
0604402,3.4722222222222228,2011
0604403,3.214285714285714,2011
0604811,2.702702702702702,2011
0604812,3.2352941176470593,2011
0604813,3.043478260869565,2011
0640281,5.686274509803923,2011
0640282,7.142857142857142,2011
0640283,6,2011
0640331,4.074074074074074,2011
0640332,6.984126984126984,2011
0640333,3.3333333333333335,2011
0646041,4.125,2011
0646042,4.545454545454545,2011
0646043,3.809523809523809,2011
0655461,1.866666666666667,2011
0655462,1.2121212121212122,2011
0655463,3,2011
0724281,3.4782608695652173,2011
0724282,3.8596491228070176,2011
0724283,3.5294117647058822,2011
0740021,1.5789473684210529,2011
0740022,2.280701754385965,2011
0740023,2.037037037037037,2011
0740041,5.151515151515151,2011
0740042,2.1052631578947367,2011
0740043,6.153846153846154,2011
0740571,5.666666666666667,2011
0740572,4.4444444444444455,2011
0740573,4.62962962962963,2011
0746311,2.5,2011
0746312,3.076923076923077,2011
0746313,2.9333333333333336,2011
0749811,3.03030303030303,2011
0749812,2.266666666666666,2011
0749813,2.9333333333333336,2011
0753761,2.716049382716049,2011
0753762,2.5641025641025643,2011
0753763,2.6666666666666665,2011
0755041,3.9682539682539684,2011
0755042,5.277777777777779,2011
0755043,3.7037037037037037,2011
0782331,1.0666666666666669,2011
0782332,1.6091954022988508,2011
0782333,2.777777777777778,2011
0896761,3.157894736842105,2011
0896762,2.692307692307692,2011
0896763,2.8333333333333335,2011
0940041,4.090909090909091,2011
0940042,4.696969696969696,2011
0940043,6,2011
1017911,3.1666666666666665,2011
1017912,3.1999999999999997,2011
1017913,2.6666666666666665,2011
1040041,5,2011
1040042,3.0952380952380953,2011
1040043,3.9215686274509807,2011
1051021,2.9729729729729732,2011
1051022,3.5833333333333335,2011
1051023,3.0555555555555554,2011
1053811,5.5555555555555545,2011
1053812,2.2619047619047623,2011
1053813,2.435897435897436,2011
1082061,3.3333333333333335,2011
1082062,3.3333333333333335,2011
1082063,3.218390804597701,2011
1082591,1.8627450980392155,2011
1082592,1.6666666666666667,2011
1082593,3.4375,2011
1101311,3.1944444444444446,2011
1101312,4.56140350877193,2011
1101313,4.583333333333333,2011
1111541,3.5294117647058822,2011
1111542,2.111111111111111,2011
1111543,3.7037037037037037,2011
1127441,3.8596491228070176,2011
1127442,1.5476190476190474,2011
1127443,2.7777777777777772,2011
1146041,2.9629629629629632,2011
1146042,3.157894736842105,2011
1146043,2.222222222222222,2011
1160061,1.833333333333333,2011
1160062,1.9444444444444446,2011
1160063,1.2698412698412698,2011
1174891,3.851282051282052,2011
1174892,1.7857142857142854,2011
1174893,1.9444444444444446,2011
1182761,0.8333333333333334,2011
1182762,1.4102564102564104,2011
1182763,1.8279569892473118,2011
1224901,1.805555555555556,2011
1224902,2.456140350877193,2011
1224903,1.5384615384615385,2011
1240991,2.1666666666666665,2011
1240992,2.463768115942029,2011
1240993,2.5,2011
1340041,5.5555555555555545,2011
1340042,3.6363636363636362,2011
1340043,3.5294117647058822,2011
1349021,2.698412698412698,2011
1349022,2.6666666666666665,2011
1349023,2.533333333333333,2011
1355591,2.380952380952381,2011
1355592,3,2011
1355593,2.0689655172413794,2011
1382021,0.641025641025641,2011
1382022,1.3580246913580247,2011
1382023,2.0833333333333335,2011
1411541,4.126984126984127,2011
1411542,2.8888888888888893,2011
1411543,1.8666666666666665,2011
1424031,2.8070175438596494,2011
1424032,2.777777777777778,2011
1424033,2.727272727272727,2011
