communityID,urban_score_econ,year
0101041,4.725220401578131,2011
0101042,7.091391306937521,2011
0101043,4.884736774391956,2011
0102061,5.043819613532878,2011
0102062,5.011656828502162,2011
0102063,4.7599462755870725,2011
0102331,4.779153818209633,2011
0102332,4.8841903420758355,2011
0102333,4.254210796803046,2011
0104461,4.805243149262157,2011
0104462,4.245627024174847,2011
0104463,4.727887780835649,2011
0104511,5.331295054826389,2011
0104512,4.488163269207614,2011
0104513,4.881601565574596,2011
0140311,7.704383608992433,2011
0140312,4.690584748799975,2011
0140313,7.3985774866680485,2011
0140511,5.7290844821622295,2011
0140512,5.4720335341581325,2011
0140513,5.307717384778308,2011
0146431,4.921636163836157,2011
0146432,5.587798732928422,2011
0146433,4.0148234949183514,2011
0182061,4.639823414596706,2011
0182062,4.654499110511637,2011
0182063,4.5109484258350845,2011
0304761,6.690860009546501,2011
0304762,5.113632182142565,2011
0304763,5.728940249766275,2011
0311061,5.049255654241191,2011
0311062,6.048068052646833,2011
0311063,5.96603761040561,2011
0340431,5.814097489602808,2011
0340432,5.654557855944074,2011
0340433,5.524022673938039,2011
0346761,5.167989023609296,2011
0346762,5.977810174589552,2011
0346763,5.431607891381442,2011
0467461,4.510099054155506,2011
0467462,4.348793053423855,2011
0467463,4.152810780363823,2011
0516061,4.646124018794846,2011
0516062,4.383816229680794,2011
0516063,4.434147046913728,2011
0540541,4.399546335418209,2011
0540542,5.726027456314525,2011
0540543,4.688307667457879,2011
0542491,4.384254850109797,2011
0542492,5.090717384625976,2011
0542493,6.671490099061869,2011
0560431,4.798358535225808,2011
0560432,3.8790843983581325,2011
0560433,4.330532745193271,2011
0560591,5.097329578168835,2011
0560592,4.563651873813228,2011
0560593,4.617599059678322,2011
0563021,6.694479171104078,2011
0563022,6.451063471588429,2011
0563023,5.250292272166944,2011
0563461,4.837298955995565,2011
0563462,4.8686785118839815,2011
0563463,7.817060154452709,2011
0566041,4.337478653213836,2011
0566042,4.327643286262896,2011
0566043,5.290341110201136,2011
0574571,4.692460056342449,2011
0574572,4.321053835376773,2011
0574573,4.400017279079682,2011
0576331,5.234342902584626,2011
0576332,5.113175367055782,2011
0576333,5.70109113662146,2011
0582021,7.025891813576542,2011
0582022,3.7228786360685717,2011
0582023,4.022594469107447,2011
0586591,4.2577207960489245,2011
0586592,7.3966799086293635,2011
0586593,4.495073973123218,2011
0604401,4.216769596831122,2011
0604402,3.6279999359923867,2011
0604403,4.68736457372357,2011
0604811,4.411760329546802,2011
0604812,4.847027193715977,2011
0604813,4.527870492290101,2011
0640281,7.762424356759297,2011
0640282,7.624320667689965,2011
0640283,7.527653968165612,2011
0640331,3.6174672841656825,2011
0640332,5.274205231671341,2011
0640333,4.150362361951124,2011
0646041,7.319257176600748,2011
0646042,6.969860483535595,2011
0646043,7.186991268214506,2011
0655461,4.394516031541954,2011
0655462,5.04836845148263,2011
0655463,5.133194505411766,2011
0724281,7.134566958798104,2011
0724282,7.6406497556859065,2011
0724283,7.533353318356667,2011
0740021,4.908988248655943,2011
0740022,4.546538891319288,2011
0740023,4.739628279795993,2011
0740041,7.86947419616714,2011
0740042,7.472964621877871,2011
0740043,7.924389348822314,2011
0740571,7.679562616959867,2011
0740572,7.0449029831243495,2011
0740573,7.461095131364718,2011
0746311,4.5690649374938666,2011
0746312,4.38700101960275,2011
0746313,4.872280689799772,2011
0749811,4.393948941340172,2011
0749812,4.34458381553858,2011
0749813,4.44488945573339,2011
0753761,6.138363360359212,2011
0753762,6.1054531056721855,2011
0753763,7.394425805039465,2011
0755041,7.7675812357731475,2011
0755042,7.182341528216399,2011
0755043,7.248018906690123,2011
0782331,4.784697873870955,2011
0782332,4.852779300229964,2011
0782333,5.8952506680039525,2011
0896761,5.552385475175989,2011
0896762,7.165614382171377,2011
0896763,7.256424918972246,2011
0940041,7.616303321031903,2011
0940042,7.870861025420091,2011
0940043,8.136396859479122,2011
1017911,5.272885221155196,2011
1017912,6.112199740978718,2011
1017913,5.316229710786891,2011
1040041,7.99084575808759,2011
1040042,8.255584835491478,2011
1040043,7.855021608014977,2011
1051021,6.056852671955316,2011
1051022,7.18386650658928,2011
1051023,7.4407844971987025,2011
1053811,7.374285873198428,2011
1053812,3.965770825079152,2011
1053813,4.298579629915408,2011
1082061,5.316281019181136,2011
1082062,4.347421776763601,2011
1082063,4.402835370126732,2011
1082591,6.56582660465266,2011
1082592,5.932772112551624,2011
1082593,7.375362672705705,2011
1101311,8.334519443081417,2011
1101312,6.239748654747706,2011
1101313,7.241763144876299,2011
1111541,7.295551162422963,2011
1111542,4.34746248405412,2011
1111543,7.010359566627559,2011
1127441,7.084867988530585,2011
1127442,4.512837489662413,2011
1127443,5.639012702191521,2011
1146041,7.533947800773189,2011
1146042,7.306409159655234,2011
1146043,4.692598792411811,2011
1160061,4.610133542549337,2011
1160062,4.250437368046249,2011
1160063,4.548419916234181,2011
1174891,6.138349385651259,2011
1174892,4.865363635179107,2011
1174893,5.097080659095737,2011
1182761,5.871246587348658,2011
1182762,4.402926142177775,2011
1182763,4.784385355274013,2011
1224901,4.695929608314066,2011
1224902,3.9731829146797186,2011
1224903,5.735224115808287,2011
1240991,5.936650731072985,2011
1240992,4.8337445782059865,2011
1240993,5.447894291748352,2011
1340041,7.267409512568558,2011
1340042,7.889615098133341,2011
1340043,7.39430084986414,2011
1349021,4.3751296083156275,2011
1349022,4.6071469782085375,2011
1349023,4.544790849043852,2011
1355591,4.45894733663457,2011
1355592,4.328750685057607,2011
1355593,4.53577284005646,2011
1382021,3.92215143939654,2011
1382022,4.241571027472254,2011
1382023,4.810843662473724,2011
1411541,4.100508119786118,2011
1411542,6.689641213099084,2011
1411543,4.908481564641619,2011
1424031,7.149858912070196,2011
1424032,7.452884189518368,2011
1424033,6.614226120707133,2011
1440161,7.520045875504022,2011
1440162,8.093203872236705,2011
1440163,7.454174077055643,2011
1455281,8.101425555525845,2011
1455282,7.571028195636091,2011
1455283,7.57636140558112,2011
1504781,6.577672978524205,2011
1504782,6.294954804034155,2011
1504783,7.308623818609246,2011
1511561,6.583122632071934,2011
1511562,8.260075225845734,2011
1511563,8.196930534785166,2011
1538591,7.332688320359543,2011
1538592,6.903912212329433,2011
1538593,7.831563824691759,2011
1540441,5.989757305694456,2011
1540442,5.114013110725868,2011
1540443,6.737537243882845,2011
1540581,7.525927105672771,2011
1540582,6.9898646223271035,2011
1540583,7.608531498997604,2011
1546281,5.665945085447253,2011
1546282,5.255964344968734,2011
1546283,6.101296877117581,2011
1546311,4.679428363100217,2011
1546312,5.41185433379584,2011
1546313,5.699507763889467,2011
1546761,5.818465478919802,2011
1546762,4.4813132432911535,2011
1546763,6.101681520744104,2011
1556761,5.422789080974447,2011
1556762,5.286367917688552,2011
1556763,7.6456064327296955,2011
1582311,5.658875125050809,2011
1582312,7.280718003577467,2011
