communityID,year,urban_score_insr
0101041,2011,5
0101042,2011,8.061224489795919
0101043,2011,5.0925925925925934
0102061,2011,5
0102062,2011,4.72972972972973
0102063,2011,4.8
0102331,2011,5
0102332,2011,4.833333333333333
0102333,2011,5.381355932203389
0104461,2011,4.84375
0104462,2011,4.90566037735849
0104463,2011,4.772727272727273
0104511,2011,5.416666666666666
0104512,2011,5.113636363636363
0104513,2011,5.142857142857142
0140311,2011,9.324324324324325
0140312,2011,5.6410256410256405
0140313,2011,7.391304347826086
0140511,2011,3.4375
0140512,2011,4.772727272727273
0140513,2011,4.827586206896552
0146431,2011,4.625
0146432,2011,5.540540540540542
0146433,2011,5
0182061,2011,5
0182062,2011,4.852941176470588
0182063,2011,4.166666666666667
0304761,2011,4.782608695652174
0304762,2011,5.131578947368421
0304763,2011,5.196078431372549
0311061,2011,5.056818181818182
0311062,2011,5
0311063,2011,5.227272727272727
0340431,2011,4.861111111111111
0340432,2011,5.142857142857142
0340433,2011,5
0346761,2011,3.977272727272727
0346762,2011,4.361702127659575
0346763,2011,4.693877551020408
0467461,2011,5
0467462,2011,5
0467463,2011,4.9
0516061,2011,4.032258064516129
0516062,2011,4.642857142857142
0516063,2011,4.85
0540541,2011,5.116279069767442
0540542,2011,5.041666666666666
0540543,2011,4.166666666666666
0542491,2011,4.318181818181818
0542492,2011,4.838709677419355
0542493,2011,5.384615384615385
0560431,2011,4.8936170212765955
0560432,2011,4.509803921568628
0560433,2011,5.333333333333333
0560591,2011,4.166666666666667
0560592,2011,4.487179487179487
0560593,2011,5
0563021,2011,3.3000000000000003
0563022,2011,4.25
0563023,2011,4.651162790697675
0563461,2011,5
0563462,2011,4.779411764705882
0563463,2011,8.243243243243244
0566041,2011,4.384615384615385
0566042,2011,5.119047619047619
0566043,2011,4.84375
0574571,2011,5
0574572,2011,4.772727272727273
0574573,2011,4.84375
0576331,2011,4.861111111111111
0576332,2011,4.824561403508772
0576333,2011,5.166666666666667
0582021,2011,5.7142857142857135
0582022,2011,4.722222222222222
0582023,2011,4.390243902439025
0586591,2011,5
0586592,2011,8.846153846153847
0586593,2011,5
0604401,2011,4.8979591836734695
0604402,2011,5.056818181818182
0604403,2011,4.680851063829787
0604811,2011,3.93939393939394
0604812,2011,4.838709677419355
0604813,2011,4.404761904761905
0640281,2011,7.931034482758621
0640282,2011,9.032258064516128
0640283,2011,10
0640331,2011,4.891304347826087
0640332,2011,4.602272727272727
0640333,2011,4.7368421052631575
0646041,2011,7.115384615384616
0646042,2011,7.5
0646043,2011,8.636363636363635
0655461,2011,4.239130434782609
0655462,2011,4.625
0655463,2011,4.903846153846154
0724281,2011,7.361111111111112
0724282,2011,7.916666666666666
0724283,2011,9.615384615384615
0740021,2011,4.375
0740022,2011,4.928571428571429
0740023,2011,5
0740041,2011,7.75
0740042,2011,7.931034482758621
0740043,2011,6.818181818181818
0740571,2011,7.205882352941177
0740572,2011,6
0740573,2011,5
0746311,2011,4.651162790697674
0746312,2011,4.782608695652174
0746313,2011,5.397727272727273
0749811,2011,5.0625
0749812,2011,4.883720930232558
0749813,2011,4.7560975609756095
0753761,2011,5
0753762,2011,4.4021739130434785
0753763,2011,5.294117647058823
0755041,2011,8.974358974358974
0755042,2011,7.857142857142857
0755043,2011,7.647058823529411
0782331,2011,4.404761904761905
0782332,2011,5.3500000000000005
0782333,2011,5.480769230769232
0896761,2011,5
0896762,2011,5.238095238095237
0896763,2011,7.045454545454545
0940041,2011,9.342105263157896
0940042,2011,6.621621621621622
0940043,2011,7.777777777777778
1017911,2011,4.571428571428572
1017912,2011,1.5789473684210527
1017913,2011,4.705882352941177
1040041,2011,8.076923076923077
1040042,2011,9.09090909090909
1040043,2011,6.25
1051021,2011,5
1051022,2011,6.933333333333334
1051023,2011,8.75
1053811,2011,5.6034482758620685
1053812,2011,4.705882352941177
1053813,2011,5.425531914893618
1082061,2011,3.2653061224489797
1082062,2011,4.183673469387755
1082063,2011,3.679245283018868
1082591,2011,4.769230769230769
1082592,2011,5.602409638554216
1082593,2011,6.041666666666666
1101311,2011,5.222222222222222
1101312,2011,6.25
1101313,2011,5.812499999999999
1111541,2011,7.685185185185186
1111542,2011,4.8076923076923075
1111543,2011,6.607142857142857
1127441,2011,7.32394366197183
1127442,2011,4.803921568627451
1127443,2011,5.277777777777778
1146041,2011,8.823529411764707
1146042,2011,8.416666666666666
1146043,2011,5.357142857142857
1160061,2011,4.7727272727272725
1160062,2011,4.878048780487805
1160063,2011,5.1923076923076925
1174891,2011,5.204081632653061
1174892,2011,5.294117647058823
1174893,2011,5.238095238095238
1182761,2011,1.5217391304347825
