communityID,urban_score_soc
0101041,3.3
0101042,9.899999999999999
0101043,6.6
0102061,9.899999999999999
0102062,6.6
0102063,6.6
0102331,4.949999999999999
0102332,4.949999999999999
0102333,4.949999999999999
0104461,6.6
0104462,8.25
0104463,6.6
0104511,3.3
0104512,4.949999999999999
0104513,4.949999999999999
0140311,6.6
0140312,4.949999999999999
0140313,9.899999999999999
0140511,6.6
0140512,9.899999999999999
0140513,6.6
0146431,4.949999999999999
0146432,6.6
0146433,3.3
0182061,6.6
0182062,6.6
0182063,3.3
0304761,6.6
0304762,6.6
0304763,6.6
0311061,6.6
0311062,6.6
0311063,6.6
0340431,4.949999999999999
0340432,4.949999999999999
0340433,6.6
0346761,6.6
0346762,6.6
0346763,4.949999999999999
0467461,4.949999999999999
0467462,3.3
0467463,4.949999999999999
0516061,4.949999999999999
0516062,4.949999999999999
0516063,4.949999999999999
0540541,6.6
0540542,6.6
0540543,4.949999999999999
0542491,9.899999999999999
0542492,9.899999999999999
0542493,8.25
0560431,4.949999999999999
0560432,4.949999999999999
0560433,4.949999999999999
0560591,4.949999999999999
0560592,6.6
0560593,4.949999999999999
0563021,6.6
0563022,6.6
0563023,4.949999999999999
0563461,6.6
0563462,6.6
0563463,6.6
0566041,6.6
0566042,4.949999999999999
0566043,6.6
0574571,4.949999999999999
0574572,6.6
0574573,4.949999999999999
0576331,4.949999999999999
0576332,3.3
0576333,3.3
0582021,6.6
0582022,4.949999999999999
0582023,6.6
0586591,4.949999999999999
0586592,6.6
0586593,6.6
0604401,4.949999999999999
0604402,4.949999999999999
0604403,6.6
0604811,6.6
0604812,6.6
0604813,6.6
0640281,4.949999999999999
0640282,6.6
0640283,4.949999999999999
0640331,4.949999999999999
0640332,6.6
0640333,6.6
0646041,6.6
0646042,6.6
0646043,6.6
0655461,6.6
0655462,4.949999999999999
0655463,4.949999999999999
0724281,6.6
0724282,6.6
0724283,4.949999999999999
0740021,4.949999999999999
0740022,4.949999999999999
0740023,3.3
0740041,6.6
0740042,6.6
0740043,3.3
0740571,6.6
0740572,6.6
0740573,4.949999999999999
0746311,4.949999999999999
0746312,6.6
0746313,6.6
0749811,4.949999999999999
0749812,6.6
0749813,6.6
0753761,4.949999999999999
0753762,6.6
0753763,6.6
0755041,6.6
0755042,8.25
0755043,6.6
0782331,4.949999999999999
0782332,4.949999999999999
0782333,6.6
0896761,4.949999999999999
0896762,4.949999999999999
0896763,6.6
0940041,6.6
0940042,4.949999999999999
0940043,4.949999999999999
1017911,4.949999999999999
1017912,6.6
1017913,3.3
1040041,6.6
1040042,6.6
1040043,6.6
1051021,6.6
1051022,3.3
1051023,3.3
1053811,9.899999999999999
1053812,6.6
1053813,6.6
1082061,3.3
1082062,4.949999999999999
1082063,4.949999999999999
1082591,4.949999999999999
1082592,9.899999999999999
1082593,6.6
1101311,0
1101312,8.25
1101313,3.3
1111541,6.6
1111542,6.6
1111543,6.6
1127441,6.6
1127442,4.949999999999999
1127443,6.6
1146041,3.3
1146042,3.3
1146043,8.25
1160061,6.6
1160062,4.949999999999999
1160063,6.6
1174891,4.949999999999999
1174892,4.949999999999999
1174893,4.949999999999999
1182761,4.949999999999999
1182762,6.6
1182763,3.3
1224901,4.949999999999999
1224902,4.949999999999999
1224903,6.6
1240991,4.949999999999999
1240992,4.949999999999999
1240993,3.3
1340041,6.6
1340042,6.6
1340043,6.6
1349021,4.949999999999999
1349022,4.949999999999999
1349023,6.6
1355591,4.949999999999999
1355592,4.949999999999999
1355593,3.3
1382021,4.949999999999999
1382022,3.3
1382023,4.949999999999999
1411541,4.949999999999999
1411542,6.6
1411543,4.949999999999999
1424031,6.6
1424032,3.3
1424033,3.3
1440161,6.6
1440162,0
1440163,6.6
1455281,6.6
1455282,6.6
1455283,6.6
