urban_score_pop,urban_score_markets,urban_score_trans,urban_score_housing,urban_score_econ,urban_score_div,communityID,urban_score
7,5.555555555555555,4.9998000000000005,9.990892531876138,5.5,4.375,0740041,37.42124808743169
9.5,3.3333333333333335,4.9998000000000005,10,5.5,5.125,0740042,38.458133333333336
9,3.3333333333333335,6.6664,9.990892531876138,7.5,5.125,0740043,41.61562586520947
8.5,6.666666666666667,6.6664,9.94432994628315,6.5,5.375,0740571,43.652396612949815
6.5,6.666666666666667,6.6664,10,3,2.625,0740572,35.45806666666667
4.5,2.2222222222222223,4.9998000000000005,10,5.5,4.75,0740573,31.972022222222222
5.5,5.555555555555555,4.9998000000000005,3.1979264663690894,3.5,4,0746311,26.753282021924647
5.5,2.2222222222222223,1.6666,3.3333333333333335,4.5,4,0746312,21.222155555555556
5,3.3333333333333335,3.3332,3.3566657992887503,4,4.75,0746313,23.773199132622082
4.5,3.3333333333333335,0,3.3454034718107404,4,4.75,0749811,19.928736805144077
6,3.3333333333333335,6.6664,6.067553654866557,5,5,0749812,32.06728698819989
4.5,5.555555555555555,0,4.119451634550858,4,4.5,0749813,22.675007190106413
8.5,4.444444444444445,6.6664,7.276867030965391,5,5,0753761,36.88771147540984
8.5,6.666666666666667,3.3332,8.076128452728499,5.5,5.25,0753762,37.32599511939517
8.5,3.3333333333333335,6.6664,9.990892531876138,6,5.25,0753763,39.74062586520947
5,4.444444444444445,6.6664,7.838541666666667,5,4.5,0755041,33.44938611111111
7.5,7.777777777777778,6.6664,9.980139843704096,5.5,5,0755042,42.42431762148187
8,4.444444444444445,6.6664,8.77193090659397,5.5,4.75,0755043,38.13277535103842
4,3.3333333333333335,3.3332,2.276867030965392,3.5,3.25,0782331,19.693400364298725
4,3.3333333333333335,3.3332,3.2471042921862594,4,4.5,0782332,22.41363762551959
4.5,8.88888888888889,6.6664,5.112021857923498,5.5,5,0782333,35.66731074681239
4.5,3.3333333333333335,3.3332,6.657559198542805,2.5,2.5,0896761,22.82409253187614
7,6.666666666666667,6.6664,7.935143402956277,4.5,5.5,0896762,38.268210069622945
5.5,3.3333333333333335,6.6664,8.453523096727574,5.5,6,0896763,35.453256430060904
6.5,0,6.6664,9.990892531876138,7,5.25,0940041,35.40729253187614
8,5.555555555555555,6.6664,9.932974531571306,8.5,6.25,0940042,44.904930087126864
6.5,3.3333333333333335,4.9998000000000005,9.990892531876138,9.5,7,0940043,41.32402586520947
1,0,1.6666,3.324225865209472,5,6.75,1017911,17.740825865209473
6,3.3333333333333335,9.999600000000001,3.3333333333333335,5,5,1017912,32.66626666666667
1,0,4.9998000000000005,3.324225865209472,5,4.75,1017913,19.07402586520947
8,4.444444444444445,6.6664,9.990892531876138,6.5,5.25,1040041,40.85173697632058
9,3.3333333333333335,8.333,9.990892531876138,7.5,5,1040042,43.157225865209476
7.5,5.555555555555555,8.333,9.990892531876138,6.5,5.25,1040043,43.1294480874317
5.5,6.666666666666667,4.9998000000000005,7.983467445692102,4.5,4.75,1051021,34.39993411235877
6,6.666666666666667,4.9998000000000005,8.324225865209472,5.5,5.25,1051022,36.740692531876135
6.5,8.88888888888889,4.9998000000000005,8.17271071369432,5.5,5.25,1051023,39.31139960258321
7,6.666666666666667,6.6664,9.409046139323772,6,5.5,1053811,41.24211280599044
5.5,3.3333333333333335,6.6664,3.3060109289617485,3.5,4.5,1053812,26.805744262295082
7,4.444444444444445,6.6664,5.92954731771982,4.5,4.75,1053813,33.29039176216426
1,2.2222222222222223,3.3332,3.187613843351548,4,3,1082061,16.74303606557377
3.5,0,0,3.1944444444444446,4.5,3.75,1082062,14.944444444444445
0.5,2.2222222222222223,3.3332,3.278688524590164,4,4,1082063,17.334110746812385
2.5,3.3333333333333335,1.6666,3.324225865209472,3.5,3,1082591,17.32415919854281
3.5,3.3333333333333335,4.9998000000000005,3.324225865209472,4.5,4.75,1082592,24.407359198542803
5.5,6.666666666666667,4.9998000000000005,3.783995980152001,5,5,1082593,30.950462646818668
6,5.555555555555555,6.6664,7.767283706341878,4.5,4.5,1101311,34.98923926189743
6.5,5.555555555555555,8.333,8.412698412698413,4.5,4.625,1101312,37.92625396825397
5,0,3.3332,7.406112347304845,5.5,5.125,1101313,26.364312347304846
7,8.88888888888889,9.999600000000001,6.657559198542805,5.5,4.25,1111541,42.2960480874317
5.5,2.2222222222222223,1.6666,6.401148942132548,3.5,3.5,1111542,22.789971164354768
7,3.3333333333333335,8.333,7.156324630641571,5.5,5,1111543,36.322657963974905
6.5,4.444444444444445,6.6664,9.990892531876138,6,4.75,1127441,38.35173697632058
5,3.3333333333333335,3.3332,3.746351047159981,4,4,1127442,23.412884380493313
6,6.666666666666667,6.6664,6.577559198542805,4,4.041666666666666,1127443,33.95229253187614
10,3.3333333333333335,6.6664,10,6,5,1146041,40.99973333333334
7,2.2222222222222223,9.999600000000001,9.87179487179487,5,5,1146042,39.09361709401709
5,4.444444444444445,6.6664,10,4.5,5,1146043,35.610844444444446
5.5,3.3333333333333335,3.3332,4.018670309653916,4,2.75,1160061,22.93520364298725
5.5,5.555555555555555,6.6664,7.990892531876138,4,5,1160062,34.712848087431695
5,3.3333333333333335,3.3332,4.233316774300381,3.5,4.25,1160063,23.649850107633714
5.5,3.3333333333333335,4.9998000000000005,9.607843137254902,6.5,5.25,1174891,35.19097647058824
5,3.3333333333333335,4.9998000000000005,9.820576230172975,5,4.75,1174892,32.90370956350631
5.5,4.444444444444445,6.6664,8.974358974358974,5,5,1174893,35.58520341880342
4,2.2222222222222223,0,7.624521072796934,5,4.75,1182761,23.596743295019156
6,3.3333333333333335,0,4.3067846607669615,3.5,3.25,1182762,20.390117994100294
5,3.3333333333333335,3.3332,7.124183006535947,3.5,3.75,1182763,26.04071633986928
3.5,3.3333333333333335,6.6664,3.919463960447567,4.5,5,1224901,26.9191972937809
4,2.2222222222222223,1.6666,3.278688524590164,4,4,1224902,19.167510746812386
5.5,3.3333333333333335,8.333,8.396689633325414,4.5,4.25,1224903,34.31302296665875
5,3.3333333333333335,3.3332,5.141018861272695,4,4,1240991,24.80755219460603
4,3.3333333333333335,1.6666,3.582623798026009,4.5,5,1240992,22.082557131359344
4,3.3333333333333335,6.6664,3.9305078293036675,4.5,4.5,1240993,26.930241162637
8.5,3.3333333333333335,6.6664,9.990892531876138,6.5,5.25,1340041,40.24062586520947
7.5,6.666666666666667,6.6664,9.72422586520947,7,6.25,1340042,43.807292531876136
8.5,3.3333333333333335,9.999600000000001,9.58159325224287,6,4,1340043,41.414526585576205
5,3.3333333333333335,9.999600000000001,3.4951660361496426,3.5,3.5,1349021,28.828099369482974
6,5.555555555555555,9.999600000000001,6.960589501573108,4,5,1349022,37.51574505712866
4.5,6.666666666666667,4.9998000000000005,6.4931069563999,3.5,4.25,1349023,30.409573623066567
5,3.3333333333333335,3.3332,3.0111566484517307,3,3,1355591,20.677689981785065
5,3.3333333333333335,4.9998000000000005,4.020148275972262,3.5,3.5,1355592,24.353281609305593
5,3.3333333333333335,1.6666,5.882254641466552,4,4.5,1355593,24.382187974799884
3,3.3333333333333335,4.9998000000000005,6.63023679417122,4,4.25,1382021,26.213370127504554
5.5,4.444444444444445,4.9998000000000005,6.621129326047359,4,4.25,1382022,29.815373770491803
4.25,3.3333333333333335,4.9998000000000005,6.612021857923497,5,4.75,1382023,28.94515519125683
5,3.3333333333333335,6.6664,4.102564102564103,4,4,1411541,27.102297435897434
7,6.666666666666667,6.6664,7.022880954163235,5.5,5.25,1411542,38.1059476208299
3.5,3.3333333333333335,3.3332,3.3333333333333335,4,4,1411543,21.499866666666666
5.5,6.666666666666667,4.9998000000000005,9.981785063752277,4.5,4.75,1424031,36.39825173041895
3,6.666666666666667,4.9998000000000005,7.481785063752277,5,5,1424032,32.14825173041895
7.5,5.555555555555555,9.999600000000001,6.612021857923497,4,4.75,1424033,38.41717741347905
7.5,0,9.999600000000001,10,6,5,1440161,38.4996
7,0,6.6664,10,6.5,5.5,1440162,35.666399999999996
0,3.3333333333333335,6.6664,10,6,5.5,1440163,31.49973333333333
8.5,4.444444444444445,6.6664,9.97981833475543,7,5,1455281,41.590662779199874
7.5,3.3333333333333335,3.3332,9.963344322509748,7,5.25,1455282,36.37987765584308
7.5,5.555555555555555,6.6664,9.990892531876138,6,4.75,1455283,40.462848087431695
6,3.3333333333333335,4.9998000000000005,9.687862228845836,5,5,1504781,34.020995562179166
6.5,5.555555555555555,4.9998000000000005,9.94535519125683,5.5,5,1504782,37.50071074681239
6,5.555555555555555,6.6664,9.06106797047263,5,5,1504783,37.28302352602818
8,7.777777777777778,6.6664,10,5.5,2.75,1511561,40.694177777777774
6.5,7.777777777777778,6.6664,8.949225865209472,6,2.5,1511562,38.393403642987245
9,4.444444444444445,6.6664,10,6.5,5.5,1511563,42.110844444444446
6,5.555555555555555,6.6664,9.115537021059023,5,5,1538591,37.33749257661458
6.5,6.666666666666667,6.6664,9.86268740367101,5.5,4.25,1538592,39.44575407033768
7.5,0,4.9998000000000005,9.489112212365017,6,5.25,1538593,33.238912212365015
5,6.666666666666667,6.6664,9.597664202292938,4.5,4.5,1540441,36.93073086895961
3.5,3.3333333333333335,6.6664,4.990892531876138,4.5,3.75,1540442,26.74062586520947
6.5,3.3333333333333335,6.6664,9.990892531876138,5.5,5,1540443,36.990625865209466
8.5,4.444444444444445,6.6664,9.990892531876138,5.5,4.5,1540581,39.60173697632058
6,6.666666666666667,4.9998000000000005,6.612021857923497,5.1,4,1540582,33.37848852459017
8.5,3.3333333333333335,8.333,9.990892531876138,5.5,4.25,1540583,39.907225865209476
6,3.3333333333333335,3.3332,8.274161265726269,3.5,4.4375,1546281,28.878194599059604
6.5,3.3333333333333335,3.3332,5.148660257575595,4,4.6875,1546282,27.00269359090893
6,3.3333333333333335,1.6666,6.201862996011159,3.5,4.4375,1546283,25.13929632934449
3.5,3.3333333333333335,3.3332,3.919463960447567,4.5,4.75,1546311,23.3359972937809
5,5.555555555555555,1.6666,5.149982560167422,4,4.6875,1546312,26.05963811572298
5.5,3.3333333333333335,4.9998000000000005,6.8023255813953485,5,4.6875,1546313,30.32295891472868
6,3.3333333333333335,1.6666,5.090395019438327,5,4.75,1546761,25.840328352771657
5,3.3333333333333335,0,4.347034133206621,3.5,4.75,1546762,20.930367466539952
6,3.3333333333333335,3.3332,6.142538289848379,4.5,5,1546763,28.309071623181712
4,3.3333333333333335,4.9998000000000005,4.4165831366335775,3.5,3.5,1556761,23.74971646996691
7,3.3333333333333335,4.9998000000000005,5.9709962168978565,5.5,4.25,1556762,31.05412955023119
6.5,5.555555555555555,6.6664,7.44535519125683,5,4,1556763,35.16731074681238
6.5,5.555555555555555,6.6664,9.230345888976554,5.5,5.5,1582311,38.95230144453211
7.5,10,4.9998000000000005,9.911884868132756,5.5,5.25,1582312,43.16168486813275
4.5,3.3333333333333335,3.3332,5.173665693539935,5.5,5.5,1582313,27.340199026873268
5,4.444444444444445,4.9998000000000005,8.10410007904595,4.5,4.75,1582781,31.798344523490393
6,5.555555555555555,6.6664,8.324225865209472,3.5,3.6,1582782,33.646181420765025
5.5,6.666666666666667,3.3332,9.15435817421502,4.5,3.75,1582783,32.90422484088169
8,5.555555555555555,8.333,9.990892531876138,6,5.25,1601041,43.1294480874317
8.5,3.3333333333333335,6.6664,10,6,5.25,1601042,39.74973333333333
7.5,6.666666666666667,6.6664,10,5,4.25,1601043,40.08306666666667
4.5,3.3333333333333335,4.9998000000000005,6.608298114798963,3.5,3,1611591,25.941431448132295
4.5,3.3333333333333335,4.9998000000000005,6.705451918849318,4,4.5,1611592,28.03858525218265
8,5.555555555555555,6.6664,9.548152065338739,5,4.25,1611593,39.020107620894294
8,5.555555555555555,6.6664,9.753086419753087,7.5,5.75,1624311,43.22504197530864
1.5,5.555555555555555,6.6664,6.666666666666667,4,4.75,1624312,29.138622222222224
8,6.666666666666667,6.6664,9.047619047619047,5.5,3.75,1624313,39.63068571428571
4,3.3333333333333335,3.3332,3.3333333333333335,4,3.5,1660061,21.499866666666666
3.5,2.2222222222222223,0,3.324225865209472,4.5,5.25,1660062,18.796448087431695
4.5,3.3333333333333335,3.3332,3.324225865209472,3,3.5,1660063,20.990759198542804
4.5,3.3333333333333335,6.6664,3.324225865209472,4,4,1682311,25.823959198542806
4,6.666666666666667,1.6666,3.545355191256831,3.5,3.25,1682312,22.6286218579235
8,6.666666666666667,4.9998000000000005,9.768670309653915,5.5,4.75,1682313,39.68513697632058
4.5,0,6.6664,3.0755005336259793,3.5,2.5,1711591,20.24190053362598
3.5,3.3333333333333335,6.6664,3.0547965998785673,4.5,5,1711592,26.0545299332119
3.5,2.2222222222222223,4.9998000000000005,3.138850941105039,4.5,5.25,1711593,23.610873163327263
4.5,1.1111111111111112,3.3332,2.88023679417122,4.5,4.25,1746431,20.57454790528233
4.5,3.3333333333333335,6.6664,3.324225865209472,4,4,1746432,25.823959198542806
5,1.1111111111111112,4.9998000000000005,6.666666666666667,6,5.25,1746433,29.02757777777778
6,5.555555555555555,3.3332,9.981785063752277,6,5.25,1755311,36.12054061930783
7,3.3333333333333335,4.9998000000000005,7.3608103928240025,3,3.75,1755312,29.443943726157336
8,3.3333333333333335,4.9998000000000005,8.647608949786585,3,4.5,1755313,32.48074228311992
6,3.3333333333333335,4.9998000000000005,4.135831381733021,4.5,4.25,1774021,27.218964715066353
5.5,3.3333333333333335,4.9998000000000005,3.6657559198542806,3.5,4,1774022,24.998889253187613
5.75,3.3333333333333335,6.6664,3.4494277954981905,3.5,4,1774023,26.699161128831523
7.5,3.3333333333333335,4.9998000000000005,9.990892531876138,6.5,5.25,1840371,37.57402586520947
8.5,5.555555555555555,4.9998000000000005,9.990892531876138,6.5,5,1840372,40.54624808743169
8.5,3.3333333333333335,6.6664,9.990892531876138,9,6.5,1840373,43.99062586520947
6,6.666666666666667,6.6664,9.91152745251106,5,5.25,1940371,39.49459411917773
6,4.444444444444445,6.6664,9.990892531876138,7.5,5.75,1940372,40.35173697632058
6,0,6.6664,10,5.5,5.25,1940373,33.416399999999996
8.5,6.666666666666667,6.6664,9.990892531876138,9,6,2001041,46.8239591985428
6.5,5.555555555555555,6.6664,9.990892531876138,6,5,2001042,39.712848087431695
4.5,3.3333333333333335,3.3332,8.333333333333334,4.5,5,2001043,28.99986666666667
5.5,2.2222222222222223,6.6664,9.0812193641062091,6,4.75,2024541,34.21984158632843
6.5,3.3333333333333335,6.6664,9.224726775956285,6,4.25,2024542,35.974460109289616
6.5,6.666666666666667,3.3332,9.677823315118397,5,4.25,2024543,35.427689981785065
8,2.2222222222222223,6.6664,10,8,5.75,2040281,40.638622222222224
9,3.3333333333333335,6.6664,9.990892531876138,9.5,6.75,2040282,45.24062586520947
7,0,6.6664,10,6,5.25,2040283,34.916399999999996
5,0,6.6664,3.907619342200227,5,4.75,2049061,25.324019342200227
4.5,4.444444444444445,6.6664,8.606666367860397,3.5,4,2049062,31.717510812304845
5.5,2.2222222222222223,3.3332,8.966188524590164,5.5,3.5,2049063,29.02161074681239
7.5,7.777777777777778,6.6664,10,6.5,5.5,2053041,43.944177777777774
6,6.666666666666667,6.6664,9.954462659380694,6,4.75,2053042,40.03752932604736
7,6.666666666666667,6.6664,10,6,5,2053043,41.33306666666667
6,6.666666666666667,3.3332,6.287188828172435,4.5,5.25,2074061,32.03705549483911
5.5,3.3333333333333335,3.3332,8.324225865209472,5,4.291666666666666,2074062,29.78242586520947
5.75,3.3333333333333335,6.6664,9.981785063752277,7,5.041666666666666,2074063,37.77318506375227
4.5,2.2222222222222223,4.9998000000000005,5.536442699915338,6,5.25,2074281,28.50846492213756
6,3.3333333333333335,3.3332,8.426175971473642,6,4.25,2074282,31.342709304806974
6.5,3.3333333333333335,8.333,8.84838283496021,5,5.25,2074283,37.264716168293546
7.5,5.555555555555555,3.3332,9.752797293780901,5.5,5,2111541,36.641552849336456
6.5,4.444444444444445,1.6666,6.657559198542805,4.5,5.25,2111542,29.01860364298725
4,3.3333333333333335,6.6664,3.324225865209472,4,3.5,2111543,24.823959198542806
4.5,3.3333333333333335,8.333,3.324225865209472,4,2.75,2111761,26.240559198542805
3,3.3333333333333335,4.9998000000000005,3.324225865209472,4,3.5,2111762,22.157359198542807
3.5,0,6.6664,5.5809136040572875,4,3.75,2111763,23.497313604057286
4.5,3.3333333333333335,6.6664,6.666666666666667,4,4.75,2124281,29.9164
6.5,3.3333333333333335,9.999600000000001,10,6,5,2124282,40.83293333333334
6,6.666666666666667,6.6664,9.206193855080569,5,5.5,2124283,39.03926052174724
8.5,3.3333333333333335,8.333,9.772023581359553,6,5.25,2411161,41.18835691469289
0.5,6.666666666666667,6.6664,9.990892531876138,5.5,5.25,2411162,34.57395919854281
7,8.88888888888889,6.6664,9.906743529694348,5.5,5,2411163,42.962032418583235
3.5,0,3.3332,3.324225865209472,4,4.5,2427021,18.657425865209472
3.5,0,1.6666,4.335154826958106,6.5,6.75,2427022,22.751754826958106
3.5,3.3333333333333335,1.6666,6.376342886881528,5.5,8.75,2427023,29.12627622021486
9.5,5.555555555555555,6.6664,10,5,5,2440561,41.72195555555555
5,10,6.6664,9.578059071729959,5,5,2440562,41.24445907172996
5.5,3.3333333333333335,4.9998000000000005,10,5.5,4.75,2440563,34.083133333333336
7,5.555555555555555,6.6664,9.696774884817314,5,4.25,2446041,38.16873044037287
7.5,3.3333333333333335,6.6664,7.571399560080937,5,4.25,2446042,34.32113289341427
6,3.3333333333333335,0,8.324225865209472,4,2.5,2446043,24.157559198542803
5,4.444444444444445,4.9998000000000005,3.6356840911434163,4,4.75,2446761,26.82992853558786
5.5,3.3333333333333335,6.6664,1.8312970475976489,4,4,2446762,25.331030380930983
4.5,3.3333333333333335,4.9998000000000005,4.23571347643824,4,4.15625,2446763,25.22509680977157
5.5,2.2222222222222223,0,3.1910241287723777,3.5,4,2616761,18.4132463509946
6,6.666666666666667,6.6664,4.685620972638424,4,4.75,2616762,32.76868763930509
5.5,3.3333333333333335,0,3.723647268729236,2.5,4,2616763,19.05698060206257
5.5,3.3333333333333335,1.6666,4.408602150537635,3.5,4.25,2627281,22.65853548387097
6,3.3333333333333335,3.3332,7.671384083335432,3.5,3,2627282,26.837917416668766
6,3.3333333333333335,6.6664,5.938974258117796,4,4.5,2627283,30.438707591451127
5.5,4.444444444444445,4.9998000000000005,6.213570127504553,4.5,4.5,2653591,30.157814571948997
6,7.777777777777778,6.6664,8.724697914261526,4.5,4.5,2653592,38.1688756920393
5.5,3.3333333333333335,3.3332,3.7874011713672604,3.5,3.25,2653593,22.703934504700594
6,5.555555555555555,3.3332,7.03030303030303,5,4.75,2655761,31.669058585858586
5,6.666666666666667,6.6664,8.17271071369432,5,4.5,2655762,36.00577738036099
5,3.3333333333333335,3.3332,7.222222222222222,5,5.5,2655763,29.388755555555555
5.5,3.3333333333333335,0,3.6276295581985067,4,4.75,2660591,21.21096289153184
