communityID,urban_score_housing
0101041,2.7322404371584703
0101042,8.269845557076435
0101043,2.914389799635701
0102061,3.278688524590164
0102062,3.019884638737098
0102063,3.187613843351548
0102331,3.856246280365742
0102332,4.795995305054839
0102333,4.789304111091526
0104461,4.3679969089805155
0104462,4.1051348055818995
0104463,6.612021857923497
0104511,2.7322404371584703
0104512,2.7322404371584703
0104513,1.108075288403157
0140311,6.9813042149107725
0140312,3.324225865209472
0140313,9.990892531876138
0140511,8.187613843351548
0140512,7.19988344988345
0140513,7.123759664743272
0146431,6.901876930387265
0146432,6.89052934647442
0146433,2.755009107468124
0182061,3.0547965998785673
0182062,4.7632058287796
0182063,3.1944444444444446
0304761,9.304257528556594
0304762,9.052383120825745
0304763,5.94535519125683
0311061,9.667577413479053
0311062,7.148451730418944
0311063,7.723132969034608
0340431,4.115402660484627
0340432,5.073301319202958
0340433,5.588157346761065
0346761,9.363053494787321
0346762,9.642324888226527
0346763,7.196817179560924
0467461,5.686274509803922
0467462,3.324225865209472
0467463,5.757575757575758
0516061,3.362018760145224
0516062,3.324225865209472
0516063,3.3333333333333335
0540541,4.166666666666667
0540542,8.237014958326434
0540543,4.231469805240297
0542491,4.435336976320582
0542492,3.4310634720470787
0542493,3.893031700796719
0560431,3.296903460837887
0560432,3.278688524590164
0560433,3.990520219891348
0560591,3.9908925318761383
0560592,3.4168184578020644
0560593,3.324225865209472
0563021,6.612021857923497
0563022,9.589047999596824
0563023,3.4063113571310293
0563461,3.1056466302367944
0563462,3.526935200636977
0563463,9.990892531876138
0566041,3.443273484257091
0566042,3.1420765027322406
0566043,4.056212140466811
0574571,3.350680891664498
0574572,3.513142741783779
0574573,3.1442395264116576
0576331,1.0997267759562843
0576332,2.921979356405586
0576333,2.125075895567699
0582021,9.972677595628415
0582022,5.290865628459405
0582023,4.805707346690953
0586591,3.2874300048141483
0586592,9.990892531876138
0586593,3.2877959927140257
0604401,4.891591750396615
0604402,4.633966593474228
0604403,4.251366120218579
0604811,4.759743574699784
0604812,4.990892531876138
0604813,3.965251506235113
0640281,9.990892531876138
0640282,9.938645927905396
0640283,9.990892531876138
0640331,3.445291240512135
0640332,5
0640333,3.3333333333333335
0646041,10
0646042,9.990892531876138
0646043,10
0655461,4.5619046849977
0655462,4.158318154219793
0655463,5.686492264168058
0724281,9.315862663297883
0724282,8.724833199944348
0724283,9.05646630236794
0740021,4.451458891943568
0740022,3.3333333333333335
0740023,8.515092912610763
0740041,9.990892531876138
0740042,10
0740043,9.990892531876138
0740571,9.94432994628315
0740572,10
0740573,10
0746311,3.1979264663690894
0746312,3.3333333333333335
0746313,3.3566657992887503
0749811,3.3454034718107404
0749812,6.067553654866557
0749813,4.119451634550858
0753761,7.276867030965391
0753762,8.076128452728499
0753763,9.990892531876138
0755041,7.838541666666667
0755042,9.980139843704096
0755043,8.77193090659397
0782331,2.276867030965392
0782332,3.2471042921862594
0782333,5.112021857923498
0896761,6.657559198542805
0896762,7.935143402956277
0896763,8.453523096727574
0940041,9.990892531876138
0940042,9.932974531571306
0940043,9.990892531876138
1017911,3.324225865209472
1017912,3.3333333333333335
1017913,3.324225865209472
1040041,9.990892531876138
1040042,9.990892531876138
1040043,9.990892531876138
1051021,7.983467445692102
1051022,8.324225865209472
1051023,8.17271071369432
1053811,9.409046139323772
1053812,3.3060109289617485
1053813,5.92954731771982
1082061,3.187613843351548
1082062,3.1944444444444446
1082063,3.278688524590164
1082591,3.324225865209472
1082592,3.324225865209472
1082593,3.783995980152001
1101311,7.767283706341878
1101312,8.412698412698413
1101313,7.406112347304845
1111541,6.657559198542805
1111542,6.401148942132548
1111543,7.156324630641571
1127441,9.990892531876138
1127442,3.746351047159981
1127443,6.577559198542805
1146041,10
1146042,9.87179487179487
1146043,10
1160061,4.018670309653916
1160062,7.990892531876138
1160063,4.233316774300381
1174891,9.607843137254902
1174892,9.820576230172975
1174893,8.974358974358974
1182761,7.624521072796934
1182762,4.3067846607669615
1182763,7.124183006535947
1224901,3.919463960447567
1224902,3.278688524590164
1224903,8.396689633325414
1240991,5.141018861272695
1240992,3.582623798026009
1240993,3.9305078293036675
1340041,9.990892531876138
1340042,9.72422586520947
1340043,9.58159325224287
1349021,3.4951660361496426
1349022,6.960589501573108
1349023,6.4931069563999
1355591,3.0111566484517307
1355592,4.020148275972262
1355593,5.882254641466552
1382021,6.63023679417122
1382022,6.621129326047359
1382023,6.612021857923497
1411541,4.102564102564103
1411542,7.022880954163235
1411543,3.3333333333333335
1424031,9.981785063752277
1424032,7.481785063752277
1424033,6.612021857923497
1440161,10
1440162,10
1440163,10
1455281,9.97981833475543
1455282,9.963344322509748
1455283,9.990892531876138
1504781,9.687862228845836
1504782,9.94535519125683
1504783,9.06106797047263
1511561,10
1511562,8.949225865209472
1511563,10
1538591,9.115537021059023
1538592,9.86268740367101
1538593,9.489112212365017
1540441,9.597664202292938
1540442,4.990892531876138
1540443,9.990892531876138
1540581,9.990892531876138
1540582,6.612021857923497
1540583,9.990892531876138
1546281,8.274161265726269
1546282,5.148660257575595
1546283,6.201862996011159
1546311,3.919463960447567
1546312,5.149982560167422
1546313,6.8023255813953485
1546761,5.090395019438327
1546762,4.347034133206621
1546763,6.142538289848379
1556761,4.4165831366335775
1556762,5.9709962168978565
1556763,7.44535519125683
1582311,9.230345888976554
1582312,9.911884868132756
1582313,5.173665693539935
1582781,8.10410007904595
1582782,8.324225865209472
1582783,9.15435817421502
1601041,9.990892531876138
1601042,10
1601043,10
1611591,6.608298114798963
1611592,6.705451918849318
1611593,9.548152065338739
1624311,9.753086419753087
1624312,6.666666666666667
1624313,9.047619047619047
1660061,3.3333333333333335
1660062,3.324225865209472
1660063,3.324225865209472
1682311,3.324225865209472
1682312,3.545355191256831
1682313,9.768670309653915
1711591,3.0755005336259793
1711592,3.0547965998785673
1711593,3.138850941105039
1746431,2.88023679417122
1746432,3.324225865209472
1746433,6.666666666666667
1755311,9.981785063752277
1755312,7.3608103928240025
1755313,8.647608949786585
1774021,4.135831381733021
1774022,3.6657559198542806
1774023,3.4494277954981905
1840371,9.990892531876138
1840372,9.990892531876138
1840373,9.990892531876138
1940371,9.91152745251106
1940372,9.990892531876138
1940373,10
2001041,9.990892531876138
2001042,9.990892531876138
2001043,8.333333333333334
2024541,9.0812193641062091
2024542,9.224726775956285
2024543,9.677823315118397
2040281,10
2040282,9.990892531876138
2040283,10
2049061,3.907619342200227
2049062,8.606666367860397
2049063,8.966188524590164
2053041,10
2053042,9.954462659380694
2053043,10
2074061,6.287188828172435
2074062,8.324225865209472
2074063,9.981785063752277
2074281,5.536442699915338
2074282,8.426175971473642
2074283,8.84838283496021
2111541,9.752797293780901
2111542,6.657559198542805
2111543,3.324225865209472
2111761,3.324225865209472
2111762,3.324225865209472
2111763,5.5809136040572875
2124281,6.666666666666667
2124282,10
2124283,9.206193855080569
2411161,9.772023581359553
2411162,9.990892531876138
2411163,9.906743529694348
2427021,3.324225865209472
2427022,4.335154826958106
2427023,6.376342886881528
2440561,10
2440562,9.578059071729959
2440563,10
2446041,9.696774884817314
2446042,7.571399560080937
2446043,8.324225865209472
2446761,3.6356840911434163
2446762,1.8312970475976489
2446763,4.23571347643824
2616761,3.1910241287723777
2616762,4.685620972638424
2616763,3.723647268729236
2627281,4.408602150537635
2627282,7.671384083335432
2627283,5.938974258117796
2653591,6.213570127504553
2653592,8.724697914261526
2653593,3.7874011713672604
2655761,7.03030303030303
2655762,8.17271071369432
2655763,7.222222222222222
2660591,3.6276295581985067
2660592,4.20461445051609
2660593,4.877049180327869
2663061,7.657559198542805
2663062,4.110690766428472
2663063,5.235814873572674
2686061,7.057559198542805
2686062,9.990892531876138
2686063,7.21311475409836
2704021,2.204671095604518
2704022,6.187982478966085
2704023,6.014284344741635
2718061,3.33615978895798
2718062,9.017109760340558
2718063,4.733922575737755
2749511,3.717675387757355
2749512,9.931693989071038
2749513,3.6298689778683175
2755591,7.901234567901234
2755592,9.990892531876138
2755593,9.391736281221867
2801541,4.3046180220722166
2801542,4.668311886714847
2801543,4.041929214491769
2811041,10
2811042,8.13560797903061
2811043,9.981785063752277
2811161,4.381136434315163
2811162,6.187613843351548
2811163,9.990892531876138
2855021,3.324225865209472
2855022,3.324225865209472
2855023,7.776765836875126
2882511,7.568029608254489
2882512,3.763871723319523
2882513,3.187613843351548
2916761,7.768670309653916
2916762,8.276606817590425
2916763,8.721051262034868
2924581,10
2924582,6.666666666666667
2924583,9.990892531876138
2940281,6.657559198542805
2940282,9.990892531876138
2940283,9.490892531876138
2940991,4.529045142317906
2940992,4.7251773049645385
2940993,3.466666666666667
2953311,3.187613843351548
2953312,3.324225865209472
2953313,8.983140593891642
2960061,9.604523562081644
2960062,8.95640977325545
2960063,9.22166176264537
2960811,3.324225865209472
2960812,3.324225865209472
2960813,3.324225865209472
2963311,4.36066938185192
2963312,6.1447203871353615
2963313,4.242424242424242
2974391,10
2974392,3.6510232508303866
2974393,3.5027176099662767
2982451,8.324225865209472
2982452,8.995867656254248
2982453,8.324225865209472
2986311,7.617786980804485
2986312,3.9693871555320523
2986313,7.674030215013821
3201461,3.553841208614594
3201462,7.441872924033
3201463,3.5704362322867467
3211161,8.785934901401758
3211162,9.990892531876138
3211163,9.990892531876138
3211311,9.990892531876138
3211312,3.8588953547969935
3211313,7.345351619700704
3216591,3.7991152745251107
3216592,9.314916008905081
3216593,3.096539162112933
3240451,4.990892531876138
3240452,4.86032417550133
3240453,4.824225865209471
3240781,9.990892531876138
3240782,6.657559198542805
3240783,9.990892531876138
3246811,3.278688524590164
3246812,2.165691277640081
3246813,6.612021857923497
3253061,3.187613843351548
3253062,4.38242692341053
3253063,4.0740740740740735
3255541,3.1813659760370254
3255542,7.03038053091576
3255543,6.85187907896134
3263461,6.080630499974433
3263462,3.42312072510877
3263463,2.755009107468124
3263591,3.585182013430117
3263592,7.4687061258224015
3263593,4.469164715066355
3301021,8.888881427662325
3301022,3.327728737564803
3301023,6.997137652875357
3301311,3.278688524590164
3301312,3.324225865209472
3301313,3.7518326002932163
3304041,10
3304042,9.717992103778906
3304043,9.748427672955975
3340021,6.4499889909725985
3340022,7.0554086609083955
3340023,6.1146082900534315
3346311,5.9568446125823185
3346312,3.7548790007806403
3346313,9.157559198542804
3360591,5.144070724200741
3360592,6.101592337975204
3360593,9.378090033827737
3382311,9.990892531876138
3382312,8.879781420765028
3382313,2.7929568913175475
3452331,6.612021857923497
3452332,3.278688524590164
3452333,6.45972512493406
3477631,4.893902615356113
3477632,3.278688524590164
3477633,9.105427266346807
