year,communityID,urban_score_sani
2011,0101041,0.9210526315789473
2011,0101042,8.75
2011,0101043,3
2011,0102061,3.0357142857142856
2011,0102062,2.083333333333333
2011,0102063,3.9655172413793105
2011,0102331,5.108695652173914
2011,0102332,3.4722222222222223
2011,0102333,4.122983870967742
2011,0104461,3.125
2011,0104462,3.3035714285714284
2011,0104463,2.5
2011,0104511,1.7857142857142858
2011,0104512,2.2
2011,0104513,1.9318181818181817
2011,0140311,10
2011,0140312,6.041666666666666
2011,0140313,9.583333333333332
2011,0140511,3.235294117647059
2011,0140512,4.85
2011,0140513,2.7941176470588234
2011,0146431,5.833333333333332
2011,0146432,6.9318181818181825
2011,0146433,6.333333333333333
2011,0182061,4.53125
2011,0182062,3.31578947368421
2011,0182063,3.2744565217391304
2011,0304761,6.517857142857143
2011,0304762,9
2011,0304763,5
2011,0311061,5.729166666666666
2011,0311062,5.657894736842105
2011,0311063,7.4
2011,0340431,2.875
2011,0340432,6
2011,0340433,5.692307692307692
2011,0346761,3.333333333333334
2011,0346762,4.2
2011,0346763,2.410714285714286
2011,0467461,0
2011,0467462,0.1724137931034483
2011,0467463,0
2011,0516061,3.375
2011,0516062,5.300000000000001
2011,0516063,3.8793103448275867
2011,0540541,4.886363636363637
2011,0540542,9.140625
2011,0540543,3.984375
2011,0542491,4.852941176470588
2011,0542492,5
2011,0542493,5.921052631578947
2011,0560431,1.8269230769230769
2011,0560432,3.125
2011,0560433,4.270833333333334
2011,0560591,5.9523809523809526
2011,0560592,3.695652173913043
2011,0560593,5
2011,0563021,8.425925925925926
2011,0563022,7.777777777777778
2011,0563023,5.185185185185185
2011,0563461,4.11764705882353
2011,0563462,5.357142857142857
2011,0563463,10
2011,0566041,3.310810810810811
2011,0566042,3.645833333333334
2011,0566043,4.652777777777778
2011,0574571,4.51923076923077
2011,0574572,2.9807692307692313
2011,0574573,3.194444444444444
2011,0576331,2.5
2011,0576332,2.364864864864865
2011,0576333,2.5
2011,0582021,7.8125
2011,0582022,6.000000000000001
2011,0582023,4.500000000000001
2011,0586591,5.178571428571428
2011,0586592,9.642857142857142
2011,0586593,4.722222222222222
2011,0604401,4.2592592592592595
2011,0604402,2.8125
2011,0604403,4.375
2011,0604811,5.743243243243244
2011,0604812,3.9705882352941178
2011,0604813,3.804347826086956
2011,0640281,9.117647058823529
2011,0640282,10
2011,0640283,9.666666666666666
2011,0640331,2.2222222222222223
2011,0640332,8.69047619047619
2011,0640333,2.355587121212121
2011,0646041,7.84375
2011,0646042,8.636363636363637
2011,0646043,8.928571428571427
2011,0655461,0.2
2011,0655462,0.2272727272727273
2011,0655463,0.25
2011,0724281,4.130434782608695
2011,0724282,3.0263157894736836
2011,0724283,5.147058823529411
2011,0740021,5.657894736842105
2011,0740022,1.7105263157894735
2011,0740023,2.5
2011,0740041,10
2011,0740042,9.210526315789473
2011,0740043,10
2011,0740571,10
2011,0740572,5
2011,0740573,10
2011,0746311,0.7291666666666667
2011,0746312,2.115384615384616
2011,0746313,0.9000000000000001
2011,0749811,2.3863636363636362
2011,0749812,3.1
2011,0749813,2.1
2011,0753761,7.12962962962963
2011,0753762,6.826923076923077
2011,0753763,9.5
2011,0755041,7.380952380952381
2011,0755042,8.333333333333332
2011,0755043,6.111111111111111
