communityID,year,urban_score_comm
0101041,2011,0
0101042,2011,1.875
0101043,2011,0
0102061,2011,0.3571428571428571
0102062,2011,0.41666666666666663
0102063,2011,0
0102331,2011,0.43478260869565216
0102332,2011,0
0102333,2011,0
0104461,2011,0
0104462,2011,0
0104463,2011,0
0104511,2011,0
0104512,2011,0
0104513,2011,0
0140311,2011,1.5
0140312,2011,0
0140313,2011,5
0140511,2011,1.7647058823529413
0140512,2011,0.8695652173913043
0140513,2011,0
0146431,2011,0
0146432,2011,1.8181818181818183
0146433,2011,0
0182061,2011,0
0182062,2011,1
0182063,2011,0
0304761,2011,1.4285714285714284
0304762,2011,2
0304763,2011,1.1111111111111112
0311061,2011,2.0833333333333335
0311062,2011,3.1578947368421053
0311063,2011,4.4
0340431,2011,0
0340432,2011,1.5
0340433,2011,0
0346761,2011,1.3043478260869565
0346762,2011,0.4
0346763,2011,1.0714285714285714
0467461,2011,0
0467462,2011,0
0467463,2011,0.3571428571428571
0516061,2011,0
0516062,2011,0.4
0516063,2011,0
0540541,2011,1.3636363636363635
0540542,2011,0.625
0540543,2011,0.9375
0542491,2011,0.5882352941176471
0542492,2011,0.43478260869565216
0542493,2011,4.2105263157894735
0560431,2011,0
0560432,2011,0
0560433,2011,0
0560591,2011,0.47619047619047616
0560592,2011,0.43478260869565216
0560593,2011,0
0563021,2011,4.444444444444445
0563022,2011,1.1111111111111112
0563023,2011,0.7407407407407407
0563461,2011,0
0563462,2011,0.9523809523809523
0563463,2011,6.521739130434783
0566041,2011,0
0566042,2011,0
0566043,2011,0.5555555555555556
0574571,2011,0.38461538461538464
0574572,2011,0
0574573,2011,0
0576331,2011,0
0576332,2011,0
0576333,2011,0
0582021,2011,2.6666666666666665
0582022,2011,0
0582023,2011,0.4
0586591,2011,0
0586592,2011,4.285714285714286
0586593,2011,0
0604401,2011,1.1111111111111112
0604402,2011,0.41666666666666663
0604403,2011,0.3571428571428571
0604811,2011,1.0810810810810811
0604812,2011,1.7647058823529413
0604813,2011,1.7391304347826086
0640281,2011,7.058823529411765
0640282,2011,8.095238095238095
0640283,2011,5.333333333333333
0640331,2011,1.8518518518518516
0640332,2011,6.190476190476191
0640333,2011,0
0646041,2011,4
0646042,2011,5.454545454545454
