communityID,year,urban_score_house
0101041,2011,4.868421052631579
0101041,2013,6.166666666666667
0101041,2015,4.224137931034483
0101041,2018,4.916666666666666
0101042,2011,6.484375
0101042,2013,6.699999999999999
0101042,2015,7.105263157894736
0101042,2018,7.5
0101043,2011,2.6666666666666665
0101043,2013,5.9375
0101043,2015,4.995112414467253
0101043,2018,5.241935483870968
0102061,2011,1.7857142857142858
0102061,2013,5.833333333333334
0102061,2015,6.129032258064516
0102061,2018,6.583333333333333
0102062,2011,1.5625
0102062,2013,5.555555555555555
0102062,2015,5.833333333333332
0102062,2018,6
0102063,2011,2.0689655172413794
0102063,2013,5.78125
0102063,2015,5.928571428571429
0102063,2018,6.176470588235294
0102331,2011,5.869565217391304
0102331,2013,5.104166666666666
0102331,2015,6.427777777777778
0102331,2018,6.7142857142857135
0102332,2011,4.444444444444445
0102332,2013,4.772727272727273
0102332,2015,4.673913043478261
0102332,2018,6.136363636363637
0102333,2011,5.390625
0102333,2013,5.703125
0102333,2015,6
0102333,2018,6.25
0104461,2011,6.25
0104461,2013,6.590909090909092
0104461,2015,6.944444444444445
0104461,2018,7.1875
0104462,2011,6.428571428571429
0104462,2013,6.574074074074074
0104462,2015,6.691176470588235
0104462,2018,6.691176470588235
0104463,2011,4.903846153846154
0104463,2013,6.018518518518519
0104463,2015,5.557692307692308
0104463,2018,6
0104511,2011,4.523809523809524
0104511,2013,6.666666666666666
0104511,2015,7.500000000000001
0104511,2018,7.159090909090909
0104512,2011,5
0104512,2013,6.696428571428571
0104512,2015,6.379310344827587
0104512,2018,6.071428571428571
0104513,2011,5
0104513,2013,6.5
0104513,2015,6.521739130434783
0104513,2018,5.681818181818182
0140311,2011,9.880952380952381
0140311,2013,9.583333333333334
0140311,2015,9.5
0140311,2018,9.204545454545453
0140312,2011,6.875
0140312,2013,7.3076923076923075
0140312,2015,6.833333333333334
0140312,2018,7.5
0140313,2011,8.75
0140313,2013,9
0140313,2015,9.130434782608695
0140313,2018,9.62962962962963
0140511,2011,5.441176470588235
0140511,2013,7.272727272727272
0140511,2015,7
0140511,2018,7.222222222222222
0140512,2011,5.9
0140512,2013,7.222222222222221
0140512,2015,7.403846153846154
0140512,2018,7.232142857142857
0140513,2011,6.470588235294117
0140513,2013,6.363636363636363
0140513,2015,6.979166666666668
0140513,2018,6.477272727272727
0146431,2011,4.375
0146431,2013,7
0146431,2015,7.5
0146431,2018,7.333333333333334
0146432,2011,5.568181818181818
0146432,2013,6.9318181818181825
0146432,2015,7.717391304347826
0146432,2018,7.5
0146433,2011,4.166666666666666
0146433,2013,6.111111111111112
0146433,2015,6
0146433,2018,7.4
0182061,2011,1.5625
0182061,2013,4.166666666666666
0182061,2015,4.205882352941177
0182061,2018,5.526315789473685
0182062,2011,4.25
0182062,2013,5.1
0182062,2015,5.288461538461537
0182062,2018,5.865384615384616
0182063,2011,5.208333333333334
