communityID,year,urban_score_comm,urban_score_house,urban_score_econ,urban_score_sani,urban_score,urban_score_wgt,urban_score_comm_wgt,urban_score_house_wgt,urban_score_econ_wgt,urban_score_sani_wgt
0101041,2011,0,4.868421052631579,2.4705882352941173,0.9210526315789473,8.260061919504643,3.5864701471544147,0,1.791062573685887,1.2805809192742532,0.5148266541942746
0101042,2011,1.875,6.484375,6.841836734693878,8.75,23.951211734693878,11.821186703522216,0.9984394795888798,2.3855622286339897,3.546331780453736,4.89085321484561
0101043,2011,0,2.6666666666666665,2.824074074074074,3,8.49074074074074,4.12171781580399,0,0.981050490811729,1.4638033656166234,1.6768639593756376
0102061,2011,0.3571428571428571,1.7857142857142858,2.9607843137254903,3.0357142857142856,8.139355742296917,4.078623462723641,0.19017894849311995,0.6569534536685686,1.5346644350032719,1.6968266255586808
0102062,2011,0.41666666666666663,1.5625,3.7364864864864864,2.083333333333333,7.798986486486486,3.89793300338549,0.22187543990863995,0.5748342719599975,1.9367344308393268,1.1644888606775259
0102063,2011,0,2.0689655172413794,3.95,3.9655172413793105,9.98448275862069,5.025109147422478,0,0.7611598635608243,2.047404969744431,2.2165443141172223
0102331,2011,0.43478260869565216,5.869565217391304,3.1842105263157894,5.108695652173914,14.597254004576659,6.89690187027287,0.23152219816553735,2.159377439014947,1.650473026909235,2.8555292061831516
0102332,2011,0,4.444444444444445,2.666666666666667,3.4722222222222223,10.583333333333334,4.95811324471462,0,1.635084151352882,1.382214325565861,1.940814767795877
0102333,2011,0,5.390625,2.093220338983051,4.122983870967742,11.606829209950792,5.372718934865187,0,1.9831782382619914,1.084979677165575,2.30456101943762
0104461,2011,0,6.25,2.90625,3.125,12.28125,5.552468022734698,0,2.29933708783999,1.5063976438784186,1.7467332910162892
0104462,2011,0,6.428571428571429,1.5990566037735847,3.3035714285714284,11.331199460916443,5.040418659560806,0,2.365032433206847,0.828839604422453,1.8465466219315056
0104463,2011,0,4.903846153846154,3.7954545454545454,2.5,11.1993006993007,5.168781253134524,0,1.8040952535359924,1.9672993667855008,1.3973866328130313
0104511,2011,0,4.523809523809524,4.194444444444445,1.7857142857142858,10.503968253968255,4.836523341367174,0,1.6642820826270404,2.1741079495879685,0.9981333091521652
0104512,2011,0,5,1.6136363636363635,2.2,8.813636363636363,3.905566643924529,0,1.839469670271992,0.8363967367770692,1.2297002368754677
0104513,2011,0,5,2.1428571428571432,1.9318181818181817,9.074675324675326,4.029976372178005,0,1.839469670271992,1.1107079401868527,1.0797987617191604
0140311,2011,1.5,9.880952380952381,8.5,10,29.88095238095238,14.429248721297157,0.7987515836711039,3.635142443632746,4.405808162741181,5.589546531252125
0140312,2011,0,6.875,2.41025641025641,6.041666666666666,15.326923076923077,7.155597594542574,0,2.529270796623989,1.2493091019537588,3.3770176959648253
0140313,2011,5,8.75,7.782608695652174,9.583333333333332,31.115942028985504,15.272188422022737,2.6625052789036796,3.219071922975986,4.033962461026452,5.356648759116619
0140511,2011,1.7647058823529413,5.441176470588235,4.3125,3.235294117647059,14.753676470588236,6.985165994057842,0.9397077454954165,2.0017758176489324,2.2352997296260404,1.8083827012874523
0140512,2011,0.8695652173913043,5.9,3.3636363636363633,4.85,14.983201581027668,7.088023562838972,0.4630443963310747,2.1705742109209507,1.743474887929665,2.7109300676572805
0140513,2011,0,6.470588235294117,2.8362068965517238,2.7941176470588234,12.100912778904664,5.412367397737191,0,2.38049016152846,1.4700921760059316,1.5617850602027996
0146431,2011,0,4.375,2.25,5.833333333333332,12.458333333333332,6.036348108581261,0,1.609535961487993,1.166243337196195,3.2605688098970727
0146432,2011,1.8181818181818183,5.568181818181818,4.0675675675675675,6.9318181818181825,18.38574938574939,8.999599890536578,0.9681837377831564,2.0485003146210823,2.1083438107871153,3.8745720273452235
0146433,2011,0,4.166666666666666,1.666666666666667,6.333333333333333,12.166666666666666,5.936821481831669,0,1.5328913918933265,0.8638839534786631,3.5400461364596794
0182061,2011,0,1.5625,2.1785714285714284,4.53125,8.272321428571429,4.2368172831235835,0,0.5748342719599975,1.1292197391899665,2.5327632719736193
0182062,2011,1,4.25,1.9705882352941173,3.31578947368421,10.536377708978328,4.9708419638419725,0.5325010557807359,1.5635492197311933,1.0214157332306544,1.8533759550993887
0182063,2011,0,5.208333333333334,2.4523809523809526,3.2744565217391304,10.935170807453417,5.017530480696119,0,1.9161142398666586,1.2711435315471755,1.8302727092822855
0304761,2011,1.4285714285714284,7.142857142857142,7.260869565217392,6.517857142857143,22.350155279503106,10.795245410467897,0.7607157939724798,2.627813814674274,3.7635292234157407,3.643186578405403
0304762,2011,2,7.625,4.802631578947368,9,23.42763157894737,11.390135050166688,1.0650021115614718,2.805191247164788,2.4893498133135155,5.030591878126913
0304763,2011,1.1111111111111112,5.185185185185185,4.799019607843137,5,16.095315904139433,7.781516900947889,0.5916678397563733,1.907598176578362,2.487477618987091,2.7947732656260627
0311061,2011,2.0833333333333335,5.9375,3.977272727272727,5.729166666666666,17.727272727272727,8.557633052473923,1.1093771995432,2.1843702334479906,2.0615412526195365,3.2023443668631963
0311062,2011,3.1578947368421053,5,5.28030303030303,5.657894736842105,19.096092503987244,9.420499976165514,1.6815822814128503,1.839469670271992,2.7369414344301277,3.1625065900505445
0311063,2011,4.4,6.9,5.613636363636363,7.4,24.313636363636363,11.92745544866302,2.3430046454352382,2.538468144975349,2.90971822512586,4.1362644331265725
0340431,2011,0,4.75,5.361111111111111,2.875,12.98611111111111,6.133317531516411,0,1.7474961867583925,2.7788267170230325,1.606994627734986
